Date,MSFT,SHEL,JPM,^GSPC,EURUSD=X,LOAN
2015-01-05,-0.009237963018651959,-0.048640893342185756,-0.031537151177691326,-0.01844721353258727,-0.011897438565102713,0.003503764725866772
2015-01-06,-0.014786293185549464,-0.012301060298162622,-0.02627152047591582,-0.00893325469070017,-0.0006210645277236351,0.003183768845739819
2015-01-07,0.012625182989191942,0.011517166217557625,0.0015251478847554745,0.011562735844876304,-0.00534627617400705,0.0005037723552613031
2015-01-08,0.028993735318563595,0.02003322119972237,0.022100272181612122,0.01773016812715569,-0.0033195730466938967,-0.002336231612023853
2015-01-09,-0.008440878282834331,-0.012687987137844825,-0.017539777265191177,-0.008439322147078786,-0.0033794393820058676,0.0019437728893189204
2015-01-12,-0.012581087484758472,-0.02029163465563342,-0.008631773197395453,-0.008126616843470486,0.006307137852062381,0.0025037704479126703
2015-01-13,-0.005163564932032563,0.0007944260266703962,0.0001700372483735406,-0.0025818854358163217,-0.003306367396404937,0.001023768044653393
2015-01-14,-0.008665604393963727,-0.011016441674080259,-0.0351096367643815,-0.00583002896797565,-0.004509498516605509,0.0022637687694458735
2015-01-15,-0.010498772510512722,0.0035257240284221197,-0.03256086084492018,-0.009290903004567546,0.0006480468848150304,0.0026237712871460686
2015-01-16,0.01657270700140063,0.029631453288409035,0.01694951737797765,0.013334893186267299,-0.012683432307938381,-0.0014562334049315678
2015-01-20,0.0032384425548659767,0.003101443093807158,-0.003941585546696406,0.001548752433400387,-0.003392299539115276,0.000463770486059643
2015-01-21,-0.010183296836957591,0.015821212538581115,0.0032261301366604306,0.004720465022189361,-0.004409093556812298,-0.0016962303150267828
2015-01-22,0.026008877130980348,0.0036508215167360297,0.029963438099994417,0.015154313070630327,0.005906263803163871,-0.0015762294757933842
2015-01-23,0.0010610749698239975,-0.010225418186584805,-0.015927450375820718,-0.005506656279301935,-0.02339614797820338,0.0033037696849732173
2015-01-26,-0.003610254228255077,0.019143547173456697,0.001586714363659451,0.0025651679986232745,-0.019695673188945495,-0.0002962268817992438
2015-01-27,-0.09709891937681797,0.00360570850765241,-0.010091700708037986,-0.013478287815857576,0.01092915671812222,0.00026376590842292424
2015-01-28,-0.03506603680935896,-0.0394549481182495,-0.026138978439899138,-0.01358750281102202,0.01058356411852316,0.004183772660437084
2015-01-29,0.019712493519698508,-0.028478627450434245,0.016663842511864282,0.00948951705826357,-0.007587187178921266,-0.000936232947167896
2015-01-30,-0.03907813764655942,-0.0138977587820719,-0.023445125838993136,-0.013077099006318498,0.004783451539234167,0.003183773614111401
2015-02-02,0.021548479076277043,0.0239578580640203,0.019845957367765538,0.012879170000215516,-0.002343696043751205,0.00022376880759284612
2015-02-03,0.007722037735548061,0.06251033473843577,0.02228423275776222,0.014336238577453099,0.002887982175268975,-0.004136229895410084
2015-02-04,0.0057523782935786395,-0.023864306849806532,-0.006011698855876396,-0.0041647065724529616,0.010145404662095805,-0.0005362333286376226
2015-02-05,0.014474431458482137,0.02102458044631311,0.00689347120541447,0.010238810710909235,-0.012173604340968083,-0.0005762304294677008
2015-02-06,-0.0009429661612559265,-0.008568090206175742,0.019536196192213803,-0.00342402761187852,0.013446211575507286,-0.004776226424035572
2015-02-09,-0.0011795359419026238,0.007220392344290043,-0.0012097995494240819,-0.004256239310481708,-0.013830915005197415,-0.0002562297809691656
2015-02-10,0.005649674079801308,-0.009638855835717514,0.011008152637515149,0.010618979554062366,0.001109465116006892,-0.0015762342441649664
2015-02-11,-0.005177735068681431,-0.007395708674772881,-0.0015408095259860537,-2.9034010158247172e-05,-0.00044170100234545756,0.00026377067679450627
2015-02-12,0.016614272709934808,0.01061451621428948,0.02035007580438436,0.009598295065916026,-0.000882723133711319,0.00022377357596442814
2015-02-13,0.017939940798145832,0.01473420897582175,0.0016772070970356564,0.004066459227779422,0.008098083044709882,-0.0012562288272948492
2015-02-17,0.00045917334477567416,0.0012057272747565766,0.007180595697243007,0.0015962996977983961,-0.006150598587159688,-0.004816233061608814
2015-02-18,-0.0011481243010467953,0.002105856134861092,-0.012220766491632357,-0.00031435862322874816,0.006219065644784293,0.0033037696849732173
2015-02-19,-0.0006895283216992254,-0.02218587340696497,-0.002360900187652638,-0.0010626217157189283,-0.00041045440261669463,-0.0017362274158568608
2015-02-20,0.008241906579548512,0.011002386547559669,0.00957747577452501,0.006107842721055837,-0.0029256250068887004,-0.0006562293994994391
2015-02-23,0.006590197515144364,-0.009620794408498948,-0.007553815970950448,-0.000303385211985694,0.0012966795108525343,0.0031037651073364987
2015-02-24,-0.0013601464117779694,0.010987885078042901,0.024466753356604257,0.002754972468831103,-0.0042703336043747155,0.002983769036474682
2015-02-25,-0.0022704561702100515,0.0010617332269678595,0.005247780284525301,-0.0007660169636026022,0.0005328450956548737,0.0009037719737915765
2015-02-26,0.0015902950859730447,-0.017434156010072407,0.00717085709294122,-0.00147711863025381,0.0021680953305266886,-0.001736232184228443
2015-02-27,-0.004777883136857549,0.008449248372343057,-0.004883626729097151,-0.0029606830486323707,-0.014026140340517966,0.0007037673961548578
2015-03-02,0.0006844324582561696,-0.016503843664139397,0.007963983102703989,0.0061062381811330165,-0.0038807132980833957,-0.0031362308490844
2015-03-03,-0.013768575242812268,-0.01567452859672547,0.0032329271544240526,-0.004548872603817568,0.0015303346959355403,-0.0013762248981566655
2015-03-04,-0.005096067609796131,-0.006021660293260307,0.002578721356610407,-0.004398161230154572,0.0002794546526248074,0.00010377273673102969
2015-03-05,0.0011605454552799167,-0.009260157858937957,-0.0020946160209627577,0.001195365251036089,-0.008994636203198564,0.0005837665569214594
2015-03-06,-0.0175505787266232,-0.02107401814930596,-0.018065613032167496,-0.014275356362467066,-0.004522220970351142,-0.004976231001672291
