Date,EURUSD=X,JPM,MSFT,SHEL,^GSPC,^TNX
2015-01-02,1.2089413404464722,46.27431869506836,39.76768493652344,37.86667251586914,2058.199951171875,2.122999906539917
2015-01-05,1.194643259048462,44.83773422241211,39.402000427246094,36.068870544433594,2020.5799560546875,2.0390000343322754
2015-01-06,1.193901538848877,43.67513656616211,38.82366943359375,35.627899169921875,2002.6099853515625,1.9630000591278076
2015-01-07,1.1875356435775757,43.74177551269531,39.316951751708984,36.040584564208984,2025.9000244140625,1.9539999961853027
2015-01-08,1.1836000680923462,44.71925354003906,40.47357177734375,36.7698860168457,2062.139892578125,2.0160000324249268
2015-01-09,1.1796069145202637,43.941715240478516,40.13338851928711,36.306312561035156,2044.81005859375,1.9709999561309814
2015-01-12,1.187070369720459,43.564056396484375,39.63160705566406,35.577022552490234,2028.260009765625,1.9119999408721924
2015-01-13,1.1831519603729248,43.57147216796875,39.4275016784668,35.60527801513672,2023.030029296875,1.8899999856948853
2015-01-14,1.1778285503387451,42.0682373046875,39.087318420410156,35.215206146240234,2011.27001953125,1.8370000123977661
2015-01-15,1.1785920858383179,40.72050857543945,38.67909622192383,35.339569091796875,1992.6700439453125,1.774999976158142
2015-01-16,1.1637378931045532,41.416587829589844,39.325462341308594,36.402408599853516,2019.4200439453125,1.815000057220459
2015-01-20,1.1597968339920044,41.253665924072266,39.45301818847656,36.51548385620117,2022.550048828125,1.8070000410079956
2015-01-21,1.1546944379806519,41.386966705322266,39.05329513549805,37.09778594970703,2032.1199951171875,1.8530000448226929
2015-01-22,1.1615345478057861,42.64582061767578,40.082359313964844,37.23346710205078,2063.14990234375,1.8960000276565552
2015-01-23,1.1346745491027832,41.971961975097656,40.1248779296875,36.85470199584961,2051.820068359375,1.8170000314712524
2015-01-26,1.1125450134277344,42.038612365722656,39.980316162109375,37.5670166015625,2057.090087890625,1.8279999494552612
2015-01-27,1.1247708797454834,41.61652374267578,36.28078842163086,37.70271301269531,2029.550048828125,1.8250000476837158
2015-01-28,1.1367381811141968,40.542789459228516,35.030601501464844,36.24412536621094,2002.1600341796875,1.7239999771118164
2015-01-29,1.1281461715698242,41.224037170410156,35.72798156738281,35.22651290893555,2021.25,1.7510000467300415
2015-01-30,1.13355553150177,40.268798828125,34.35873794555664,34.740299224853516,1994.989990234375,1.6749999523162842
2015-02-02,1.1309019327163696,41.075958251953125,35.10714340209961,35.58266830444336,2020.8499755859375,1.6729999780654907
2015-02-03,1.1341726779937744,42.0015754699707,35.37928771972656,37.87796401977539,2050.030029296875,1.7799999713897705
2015-02-04,1.145737886428833,41.74981689453125,35.58342361450195,36.984710693359375,2041.510009765625,1.7970000505447388
2015-02-05,1.131874680519104,42.038612365722656,36.1021842956543,37.77055358886719,2062.52001953125,1.815000057220459
2015-02-06,1.147196888923645,42.867977142333984,36.06816482543945,37.44830322265625,2055.469970703125,1.937999963760376
2015-02-09,1.1314393281936646,42.816131591796875,36.02564239501953,37.719669342041016,2046.739990234375,1.9479999542236328
2015-02-10,1.1326953172683716,43.29005432128906,36.229766845703125,37.357845306396484,2068.590087890625,1.9910000562667847
2015-02-11,1.1321951150894165,43.22341537475586,36.04265213012695,37.08257293701172,2068.530029296875,1.9880000352859497
2015-02-12,1.131196141242981,44.11203384399414,36.646484375,37.4782829284668,2088.47998046875,1.9859999418258667
2015-02-13,1.140393853187561,44.186073303222656,37.30984115600586,38.034584045410156,2096.989990234375,2.0209999084472656
2015-02-17,1.1334012746810913,44.5045051574707,37.32697296142578,38.0804557800293,2100.340087890625,2.1449999809265137
2015-02-18,1.1404719352722168,43.96393585205078,37.284149169921875,38.160743713378906,2099.679931640625,2.065999984741211
2015-02-19,1.1400039196014404,43.860252380371094,37.25845718383789,37.323448181152344,2097.449951171875,2.11299991607666
2015-02-20,1.1366735696792603,44.2823600769043,37.566795349121094,37.736366271972656,2110.300048828125,2.132999897003174
2015-02-23,1.1381484270095825,43.949119567871094,37.815189361572266,37.37504577636719,2109.659912109375,2.059000015258789
2015-02-24,1.1332985162734985,45.03766632080078,37.76380920410156,37.7879638671875,2115.47998046875,1.9880000352859497
2015-02-25,1.1339025497436523,45.274627685546875,37.67814636230469,37.828125,2113.860107421875,1.968999981880188
2015-02-26,1.1363636255264282,45.60045623779297,37.73810958862305,37.1743278503418,2110.739990234375,2.0160000324249268
2015-02-27,1.1205360889434814,45.378292083740234,37.55824279785156,37.4897575378418,2104.5,2.002000093460083
2015-03-02,1.1161960363388062,45.741153717041016,37.58393096923828,36.876102447509766,2117.389892578125,2.0840001106262207
2015-03-03,1.1179054975509644,45.88924026489258,37.07001495361328,36.30259704589844,2107.780029296875,2.121999979019165
2015-03-04,1.118217945098877,46.007728576660156,36.881591796875,36.08467102050781,2098.530029296875,2.122999906539917
2015-03-05,1.1082050800323486,45.91144561767578,36.924400329589844,35.752044677734375,2101.0400390625,2.111999988555908
2015-03-06,1.1032048463821411,45.089515686035156,36.282020568847656,35.006500244140625,2071.260009765625,2.240000009536743
2015-03-09,1.0845986604690552,45.54121017456055,36.70171356201172,35.06957244873047,2079.429931640625,2.194999933242798
2015-03-10,1.0833414793014526,44.40083312988281,35.99938201904297,33.68170166015625,2044.1600341796875,2.125999927520752
2015-03-11,1.0708701610565186,44.60817337036133,35.956546783447266,33.320404052734375,2040.239990234375,2.1089999675750732
2015-03-12,1.0548745393753052,45.44495391845703,35.13430404663086,33.64155960083008,2065.949951171875,2.0959999561309814
2015-03-13,1.0626314878463745,45.170955657958984,35.442649841308594,32.83867263793945,2053.39990234375,2.111999988555908
2015-03-16,1.0481630563735962,45.80038070678711,35.596805572509766,33.13114929199219,2081.18994140625,2.0980000495910645
2015-03-17,1.0572947263717651,45.62267303466797,35.71672439575195,33.50966262817383,2074.280029296875,2.058000087738037
2015-03-18,1.0598047971725464,45.726348876953125,36.40193557739258,34.83444595336914,2099.5,1.9509999752044678
2015-03-19,1.0849988460540771,45.31905746459961,36.22207260131836,34.52476119995117,2089.27001953125,1.9769999980926514
2015-03-20,1.066894292831421,45.726348876953125,36.727413177490234,35.28750228881836,2108.10009765625,1.9299999475479126
2015-03-23,1.0826611518859863,45.274627685546875,36.71029281616211,35.87821578979492,2104.419921875,1.9149999618530273
2015-03-24,1.094499111175537,44.771080017089844,36.74455261230469,35.3678092956543,2091.5,1.878000020980835
2015-03-25,1.0902034044265747,44.14164352416992,35.51116943359375,35.80365753173828,2061.050048828125,1.9199999570846558
2015-03-26,1.0960465669631958,44.089813232421875,35.29703903198242,35.19001770019531,2056.14990234375,2.006999969482422
2015-03-27,1.0886367559432983,44.09722137451172,35.09146499633789,34.68533706665039,2061.02001953125,1.9479999542236328
2015-03-30,1.0884946584701538,45.14133071899414,35.082908630371094,34.94340896606445,2086.239990234375,1.9630000591278076
2015-03-31,1.0830246210098267,44.85994338989258,34.825950622558594,34.209346771240234,2067.889892578125,1.934000015258789
2015-04-01,1.073814034461975,44.6884880065918,34.87733840942383,34.51902770996094,2059.68994140625,1.8680000305175781
2015-04-02,1.0769942998886108,45.11338424682617,34.509037017822266,34.599308013916016,2066.9599609375,1.9040000438690186
2015-04-06,1.100134253501892,45.07611083984375,35.58824157714844,35.270301818847656,2080.6201171875,1.9040000438690186
2015-04-07,1.0934817790985107,45.359378814697266,35.57112503051758,35.528377532958984,2076.330078125,1.8930000066757202
2015-04-08,1.0824151039123535,45.50847625732422,35.47689437866211,34.312557220458984,2081.89990234375,1.8949999809265137
2015-04-09,1.078527569770813,45.8215446472168,35.52828598022461,34.065956115722656,2091.179931640625,1.9579999446868896
2015-04-10,1.0669056177139282,45.992984771728516,35.73386764526367,34.25519943237305,2102.06005859375,1.9509999752044678
2015-04-13,1.0609854459762573,46.26880645751953,35.76811981201172,34.29534149169922,2092.429931640625,1.9390000104904175
2015-04-14,1.0572947263717651,46.99187088012695,35.67390441894531,34.66813659667969,2095.840087890625,1.9040000438690186
2015-04-15,1.0647132396697998,47.8640251159668,36.196372985839844,35.65455627441406,2106.6298828125,1.899999976158142
2015-04-16,1.0676802396774292,47.56584548950195,36.11072540283203,36.2796745300293,2104.989990234375,1.878000020980835
2015-04-17,1.0755579471588135,46.84278869628906,35.648193359375,35.9814567565918,2081.179931640625,1.850000023841858
2015-04-20,1.0810226202011108,47.14095687866211,36.75312423706055,36.044525146484375,2100.39990234375,1.8949999809265137
2015-04-21,1.0747487545013428,46.44771194458008,36.521846771240234,35.79792404174805,2097.2900390625,1.9160000085830688
2015-04-22,1.074171543121338,46.91733169555664,36.82164001464844,35.763519287109375,2107.9599609375,1.972000002861023
