,MSFT,SHEL,JPM,^GSPC,EURUSD=X,LOAN
MSFT,1.0,0.20154734533591587,0.324032866585942,0.7049799403019226,-0.011609989707394009,-0.0733076045124318
SHEL,0.20154734533591587,1.0,0.3985525361412913,0.4270839097194119,-0.03315145413669072,-0.20656007110384902
JPM,0.324032866585942,0.3985525361412913,1.0,0.6313005290826879,0.015144939799594467,-0.3492163232115177
^GSPC,0.7049799403019226,0.4270839097194119,0.6313005290826879,1.0,0.019038649708722252,-0.1564224382139069
EURUSD=X,-0.011609989707394009,-0.03315145413669072,0.015144939799594467,0.019038649708722252,1.0,0.004285820610410219
LOAN,-0.0733076045124318,-0.20656007110384902,-0.3492163232115177,-0.1564224382139069,0.004285820610410219,1.0
