Method,VaR_return,ES_return,VaR_EUR,ES_EUR
GARCH-CCC Normal,0.01700635502928417,0.019542791389151132,17006.35502928417,19542.79138915113
GARCH-CCC Student-t (df=4),0.019425108862699974,0.02722468483110778,19425.108862699974,27224.684831107777
