Horizon,Historical_VaR_return,Historical_ES_return,Historical_VaR_EUR,Historical_ES_EUR,SqrtTime_VaR_return,SqrtTime_VaR_EUR
1-day,0.023886223702555665,0.03711253831718487,23886.223702555664,37112.53831718487,0.023886223702555665,23886.223702555664
5-day,0.05220588535216269,0.07059835876386746,52205.88535216269,70598.35876386745,0.05341121992468119,53411.21992468119
10-day,0.06459789993543581,0.0902588867771632,64597.89993543581,90258.8867771632,0.07553487160037621,75534.87160037621
