Method,VaR_return,ES_return,VaR_EUR,ES_EUR
Normal,0.0202158452300639,0.0232197904393063,20215.845230063984,23219.790439306395
Student-t (df=5),0.0226989841142758,0.030166361556976,22698.984114275845,30166.361556976095
Historical,0.0238862237025556,0.0371125383171848,23886.223702555664,37112.53831718487
GARCH-CCC Normal,0.0170063550292841,0.0195427913891511,17006.35502928417,19542.79138915113
GARCH-CCC Student-t (df=4),0.0194251088626999,0.0272246848311077,19425.108862699977,27224.684831107777
FHS-EWMA,0.0225621500861815,0.0290743893067203,22562.15008618154,29074.389306720343
