Asset,mu,omega,alpha[1],beta[1]
MSFT,0.09977746414489476,0.18827363251758586,0.1362373090436835,0.8021817662137151
SHEL,0.06362268649119922,0.0691122505189598,0.10919687913705041,0.8711473270283377
JPM,0.1100756872810365,0.2285907283915218,0.13691330036783927,0.7720380347036544
^GSPC,0.07597978394024642,0.04012030633420782,0.17266892306667295,0.7952610522986131
EURUSD=X,-0.002642970070150376,0.0017754308676958108,0.0328567129047453,0.9596741131401884
LOAN,0.011485799626166618,0.0005099417694938549,0.05091348588044323,0.9376113752067518
