Method,VaR_return,ES_return,VaR_EUR,ES_EUR
Normal,0.020215845230063985,0.023219790439306394,20215.845230063984,23219.790439306395
Student-t (df=5),0.022698984114275844,0.030166361556976096,22698.984114275845,30166.361556976095
Historical,0.023886223702555665,0.03711253831718487,23886.223702555664,37112.53831718487
