Date,MSFT,SHEL,JPM,^GSPC,EURUSD=X,LOAN,w_MSFT,w_SHEL,w_JPM,w_^GSPC,w_EURUSD=X,w_LOAN,portfolio_return,portfolio_loss_pct,portfolio_loss_eur
2015-01-05,-0.0092379630186519,-0.0486408933421857,-0.0315371511776913,-0.0184472135325872,-0.0118974385651027,0.0035037647258667,-0.00184759260373038,-0.007296134001327855,-0.004730572676653695,-0.0036894427065174403,-0.00118974385651027,0.00070075294517334,-0.018052732899566295,0.018052732899566295,18052.732899566294
2015-01-06,-0.0147862931855494,-0.0123010602981626,-0.0262715204759158,-0.0089332546907001,-0.0006210645277236,0.0031837688457398,-0.00295725863710988,-0.0018451590447243899,-0.00394072807138737,-0.00178665093814002,-6.210645277236e-05,0.00063675376914796,-0.00995514937498606,0.00995514937498606,9955.14937498606
2015-01-07,0.0126251829891919,0.0115171662175576,0.0015251478847554,0.0115627358448763,-0.005346276174007,0.0005037723552613,0.0025250365978383804,0.0017275749326336398,0.00022877218271330997,0.0023125471689752603,-0.0005346276174007001,0.00010075447105226,0.006360057735812151,-0.006360057735812151,-6360.057735812152
2015-01-08,0.0289937353185635,0.0200332211997223,0.0221002721816121,0.0177301681271556,-0.0033195730466938,-0.0023362316120238,0.005798747063712701,0.0030049831799583452,0.003315040827241815,0.00354603362543112,-0.00033195730466938,-0.00046724632240476,0.014865601069269839,-0.014865601069269839,-14865.601069269838
2015-01-09,-0.0084408782828343,-0.0126879871378448,-0.0175397772651911,-0.0084393221470787,-0.0033794393820058,0.0019437728893189,-0.00168817565656686,-0.0019031980706767197,-0.002630966589778665,-0.0016878644294157402,-0.00033794393820058,0.00038875457786378005,-0.007859394106774786,0.007859394106774786,7859.3941067747855
2015-01-12,-0.0125810874847584,-0.0202916346556334,-0.0086317731973954,-0.0081266168434704,0.0063071378520623,0.0025037704479126,-0.00251621749695168,-0.00304374519834501,-0.00129476597960931,-0.0016253233686940802,0.0006307137852062301,0.0005007540895825201,-0.00734858416881133,0.00734858416881133,7348.5841688113305
2015-01-13,-0.0051635649320325,0.0007944260266703,0.0001700372483735,-0.0025818854358163,-0.0033063673964049,0.0010237680446533,-0.0010327129864065,0.00011916390400054499,2.5505587256024998e-05,-0.0005163770871632601,-0.00033063673964049,0.00020475360893066,-0.00153030371302302,0.00153030371302302,1530.30371302302
2015-01-14,-0.0086656043939637,-0.0110164416740802,-0.0351096367643815,-0.0058300289679756,-0.0045094985166055,0.0022637687694458,-0.0017331208787927403,-0.0016524662511120298,-0.0052664455146572255,-0.00116600579359512,-0.00045094985166055005,0.00045275375388916,-0.009816234535928505,0.009816234535928505,9816.234535928505
2015-01-15,-0.0104987725105127,0.0035257240284221,-0.0325608608449201,-0.0092909030045675,0.000648046884815,0.002623771287146,-0.0020997545021025402,0.000528858604263315,-0.004884129126738015,-0.0018581806009135002,6.48046884815e-05,0.0005247542574292,-0.007723646679580042,0.007723646679580042,7723.6466795800425
2015-01-16,0.0165727070014006,0.029631453288409,0.0169495173779776,0.0133348931862672,-0.0126834323079383,-0.0014562334049315,0.0033145414002801205,0.00444471799326135,0.0025424276066966403,0.00266697863725344,-0.0012683432307938301,-0.0002912466809863,0.01140907572571142,-0.01140907572571142,-11409.07572571142
2015-01-20,0.0032384425548659,0.0031014430938071,-0.0039415855466964,0.0015487524334003,-0.0033922995391152,0.0004637704860596,0.00064768851097318,0.00046521646407106495,-0.00059123783200446,0.00030975048668006004,-0.00033922995391152,9.275409721192e-05,0.0005849417730202451,-0.0005849417730202451,-584.9417730202451
